# The following table is formatted as tab separated values. 																							
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LQ108_RS08200	gene-LQ108_RS08200	TRANSCRIPT_gene-LQ108_RS08200	protein_coding	0	5	0	97	0	0	0	0	50	0	0	0	0	0	0	0	0	0	5	47
LQ108_RS08205	gene-LQ108_RS08205	TRANSCRIPT_gene-LQ108_RS08205	protein_coding	0	11	1	91	0	0	0	0	37	0	0	1	0	0	0	0	0	0	11	54
LQ108_RS08210	gene-LQ108_RS08210	TRANSCRIPT_gene-LQ108_RS08210	protein_coding	0	2	1	86	0	0	0	0	51	0	0	1	0	0	0	0	0	0	2	35
LQ108_RS08215	gene-LQ108_RS08215	TRANSCRIPT_gene-LQ108_RS08215	protein_coding	0	7	3	80	0	0	0	0	35	0	0	3	0	0	0	0	0	0	7	45
LQ108_RS08220	gene-LQ108_RS08220	TRANSCRIPT_gene-LQ108_RS08220	protein_coding	0	1	0	97	0	0	0	0	54	0	0	0	0	0	0	0	0	0	1	43
LQ108_RS08225	gene-LQ108_RS08225	TRANSCRIPT_gene-LQ108_RS08225	protein_coding	0	8	3	90	0	0	0	0	41	0	0	3	0	0	0	0	0	0	8	49
LQ108_RS08230	gene-LQ108_RS08230	TRANSCRIPT_gene-LQ108_RS08230	protein_coding	0	8	0	88	0	0	0	0	47	0	0	0	0	0	0	0	0	0	8	41
LQ108_RS08240	gene-LQ108_RS08240	TRANSCRIPT_gene-LQ108_RS08240	protein_coding	0	1	0	88	0	0	0	0	56	0	0	0	0	0	0	0	0	0	1	32
LQ108_RS08250	gene-LQ108_RS08250	TRANSCRIPT_gene-LQ108_RS08250	protein_coding	0	0	0	85	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	51
LQ108_RS08255	gene-LQ108_RS08255	TRANSCRIPT_gene-LQ108_RS08255	protein_coding	0	11	1	75	0	0	0	0	27	0	0	1	0	0	0	0	0	0	11	48
LQ108_RS08270	gene-LQ108_RS08270	TRANSCRIPT_gene-LQ108_RS08270	protein_coding	0	4	0	56	0	0	0	0	34	0	0	0	0	0	0	0	0	0	4	22
LQ108_RS08300	gene-LQ108_RS08300	TRANSCRIPT_gene-LQ108_RS08300	protein_coding	0	0	0	38	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	26
LQ108_RS08305	gene-LQ108_RS08305	TRANSCRIPT_gene-LQ108_RS08305	protein_coding	0	0	0	48	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	20
LQ108_RS08310	gene-LQ108_RS08310	TRANSCRIPT_gene-LQ108_RS08310	protein_coding	0	0	0	47	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	39
LQ108_RS08320	gene-LQ108_RS08320	TRANSCRIPT_gene-LQ108_RS08320	protein_coding	0	1	2	44	0	0	0	0	7	0	0	2	0	0	0	0	0	0	1	37
LQ108_RS08335	gene-LQ108_RS08335	TRANSCRIPT_gene-LQ108_RS08335	protein_coding	0	2	1	73	0	0	0	0	34	0	0	1	0	0	0	0	0	0	2	39
LQ108_RS08340	gene-LQ108_RS08340	TRANSCRIPT_gene-LQ108_RS08340	protein_coding	0	7	1	67	0	0	0	0	36	0	0	1	0	0	0	0	0	0	7	31
LQ108_RS08365	gene-LQ108_RS08365	TRANSCRIPT_gene-LQ108_RS08365	protein_coding	0	12	4	91	0	0	0	0	57	0	0	4	0	0	0	0	0	0	12	34
LQ108_RS08370	gene-LQ108_RS08370	rna-LQ108_RS08370	protein_coding	0	0	0	93	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	54
LQ108_RS08375	gene-LQ108_RS08375	TRANSCRIPT_gene-LQ108_RS08375	protein_coding	0	4	0	98	0	0	0	0	40	0	0	0	0	0	0	0	0	0	4	58
LQ108_RS08380	gene-LQ108_RS08380	TRANSCRIPT_gene-LQ108_RS08380	protein_coding	0	3	3	104	0	0	0	0	42	0	0	3	0	0	0	0	0	0	3	62
LQ108_RS08385	gene-LQ108_RS08385	TRANSCRIPT_gene-LQ108_RS08385	protein_coding	0	11	3	98	0	0	0	0	54	0	0	3	0	0	0	0	0	0	11	44
LQ108_RS08390	gene-LQ108_RS08390	rna-LQ108_RS08390	protein_coding	0	0	0	109	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	51
LQ108_RS08400	gene-LQ108_RS08400	TRANSCRIPT_gene-LQ108_RS08400	protein_coding	0	9	2	93	0	0	0	0	39	0	0	2	0	0	0	0	0	0	9	54
LQ108_RS08405	gene-LQ108_RS08405	TRANSCRIPT_gene-LQ108_RS08405	protein_coding	0	2	0	98	0	0	0	0	44	0	0	0	0	0	0	0	0	0	2	54
LQ108_RS08410	gene-LQ108_RS08410	TRANSCRIPT_gene-LQ108_RS08410	protein_coding	0	8	0	95	0	0	0	0	41	0	0	0	0	0	0	0	0	0	8	54
LQ108_RS08450	gene-LQ108_RS08450	TRANSCRIPT_gene-LQ108_RS08450	protein_coding	0	3	1	75	0	0	0	0	34	0	0	1	0	0	0	0	0	0	3	41
LQ108_RS08475	gene-LQ108_RS08475	TRANSCRIPT_gene-LQ108_RS08475	protein_coding	0	2	0	73	0	0	0	0	45	0	0	0	0	0	0	0	0	0	2	28
LQ108_RS08480	gene-LQ108_RS08480	TRANSCRIPT_gene-LQ108_RS08480	protein_coding	0	1	0	76	0	0	0	0	30	0	0	0	0	0	0	0	0	0	1	46
LQ108_RS08490	gene-LQ108_RS08490	TRANSCRIPT_gene-LQ108_RS08490	protein_coding	0	3	2	81	0	0	0	0	53	0	0	2	0	0	0	0	0	0	3	28
LQ108_RS08500	gene-LQ108_RS08500	TRANSCRIPT_gene-LQ108_RS08500	protein_coding	0	2	1	78	0	0	0	0	46	0	0	1	0	0	0	0	0	0	2	32
LQ108_RS08505	gene-LQ108_RS08505	TRANSCRIPT_gene-LQ108_RS08505	protein_coding	0	4	0	77	0	0	0	0	46	0	0	0	0	0	0	0	0	0	4	31
LQ108_RS08510	gene-LQ108_RS08510	TRANSCRIPT_gene-LQ108_RS08510	protein_coding	0	0	0	84	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	38
LQ108_RS08535	gene-LQ108_RS08535	TRANSCRIPT_gene-LQ108_RS08535	protein_coding	0	4	0	81	0	0	0	0	30	0	0	0	0	0	0	0	0	0	4	51
LQ108_RS08550	gene-LQ108_RS08550	TRANSCRIPT_gene-LQ108_RS08550	protein_coding	0	9	4	65	0	0	0	0	28	0	0	4	0	0	0	0	0	0	9	37
LQ108_RS08555	gene-LQ108_RS08555	TRANSCRIPT_gene-LQ108_RS08555	protein_coding	0	8	3	72	0	0	0	0	25	0	0	3	0	0	0	0	0	0	8	47
LQ108_RS08600	gene-LQ108_RS08600	TRANSCRIPT_gene-LQ108_RS08600	protein_coding	0	3	0	48	0	0	0	0	25	0	0	0	0	0	0	0	0	0	3	23
LQ108_RS08615	gene-LQ108_RS08615	TRANSCRIPT_gene-LQ108_RS08615	protein_coding	0	3	0	72	0	0	0	0	48	0	0	0	0	0	0	0	0	0	3	24
LQ108_RS08635	gene-LQ108_RS08635	TRANSCRIPT_gene-LQ108_RS08635	protein_coding	0	10	3	89	0	0	0	0	38	0	0	3	0	0	0	0	0	0	10	51
LQ108_RS08640	gene-LQ108_RS08640	TRANSCRIPT_gene-LQ108_RS08640	protein_coding	0	4	5	98	0	0	0	0	46	0	0	5	0	0	0	0	0	0	4	52
LQ108_RS08655	gene-LQ108_RS08655	TRANSCRIPT_gene-LQ108_RS08655	protein_coding	0	3	0	68	0	0	0	0	47	0	0	0	0	0	0	0	0	0	3	21
LQ108_RS08675	gene-LQ108_RS08675	TRANSCRIPT_gene-LQ108_RS08675	protein_coding	0	4	0	45	0	0	0	0	28	0	0	0	0	0	0	0	0	0	4	17
LQ108_RS08720	gene-LQ108_RS08720	TRANSCRIPT_gene-LQ108_RS08720	protein_coding	0	1	1	46	0	0	0	0	23	0	0	1	0	0	0	0	0	0	1	23
LQ108_RS08740	gene-LQ108_RS08740	TRANSCRIPT_gene-LQ108_RS08740	protein_coding	0	4	0	60	0	0	0	0	41	0	0	0	0	0	0	0	0	0	4	19
LQ108_RS08765	gene-LQ108_RS08765	TRANSCRIPT_gene-LQ108_RS08765	protein_coding	0	15	1	83	0	0	0	0	54	0	0	1	0	0	0	0	0	0	15	29
LQ108_RS08770	gene-LQ108_RS08770	TRANSCRIPT_gene-LQ108_RS08770	protein_coding	1	6	1	95	0	0	0	0	56	1	0	1	0	0	0	0	0	0	6	39
LQ108_RS08775	gene-LQ108_RS08775	TRANSCRIPT_gene-LQ108_RS08775	protein_coding	0	2	0	99	0	0	0	0	43	0	0	0	0	0	0	0	0	0	2	56
LQ108_RS08795	gene-LQ108_RS08795	TRANSCRIPT_gene-LQ108_RS08795	protein_coding	0	9	4	100	0	0	0	0	56	0	0	4	0	0	0	0	0	0	9	44
LQ108_RS08825	gene-LQ108_RS08825	TRANSCRIPT_gene-LQ108_RS08825	protein_coding	0	11	4	106	0	0	0	0	53	0	0	4	0	0	0	0	0	0	11	53
LQ108_RS08855	gene-LQ108_RS08855	TRANSCRIPT_gene-LQ108_RS08855	protein_coding	0	5	1	92	0	0	0	0	40	0	0	1	0	0	0	0	0	0	5	52
LQ108_RS08860	gene-LQ108_RS08860	TRANSCRIPT_gene-LQ108_RS08860	protein_coding	0	12	1	78	0	0	0	0	46	0	0	1	0	0	0	0	0	0	12	32
LQ108_RS08890	gene-LQ108_RS08890	TRANSCRIPT_gene-LQ108_RS08890	protein_coding	0	0	0	47	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	12
LQ108_RS08905	gene-LQ108_RS08905	TRANSCRIPT_gene-LQ108_RS08905	protein_coding	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
LQ108_RS08910	gene-LQ108_RS08910	TRANSCRIPT_gene-LQ108_RS08910	protein_coding	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
LQ108_RS08915	gene-LQ108_RS08915	TRANSCRIPT_gene-LQ108_RS08915	protein_coding	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
LQ108_RS08920	gene-LQ108_RS08920	TRANSCRIPT_gene-LQ108_RS08920	protein_coding	0	0	0	27	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	12
LQ108_RS08925	gene-LQ108_RS08925	TRANSCRIPT_gene-LQ108_RS08925	protein_coding	0	0	0	25	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17
LQ108_RS08930	gene-LQ108_RS08930	TRANSCRIPT_gene-LQ108_RS08930	protein_coding	0	0	0	30	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25
LQ108_RS08935	gene-LQ108_RS08935	TRANSCRIPT_gene-LQ108_RS08935	protein_coding	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
LQ108_RS08940	gene-LQ108_RS08940	TRANSCRIPT_gene-LQ108_RS08940	protein_coding	0	0	0	43	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
LQ108_RS08945	gene-LQ108_RS08945	TRANSCRIPT_gene-LQ108_RS08945	protein_coding	0	5	1	45	0	0	0	0	45	0	0	1	0	0	0	0	0	0	5	0
LQ108_RS08950	gene-LQ108_RS08950	TRANSCRIPT_gene-LQ108_RS08950	protein_coding	0	17	1	50	0	0	0	0	42	0	0	1	0	0	0	0	0	0	17	8
LQ108_RS08955	gene-LQ108_RS08955	TRANSCRIPT_gene-LQ108_RS08955	protein_coding	0	2	1	72	0	0	0	0	45	0	0	1	0	0	0	0	0	0	2	27
LQ108_RS08960	gene-LQ108_RS08960	TRANSCRIPT_gene-LQ108_RS08960	protein_coding	0	1	1	75	0	0	0	0	45	0	0	1	0	0	0	0	0	0	1	30
LQ108_RS08965	gene-LQ108_RS08965	TRANSCRIPT_gene-LQ108_RS08965	protein_coding	0	9	7	73	0	0	0	0	32	0	0	7	0	0	0	0	0	0	9	41
LQ108_RS08970	gene-LQ108_RS08970	TRANSCRIPT_gene-LQ108_RS08970	protein_coding	0	9	1	96	0	0	0	0	47	0	0	1	0	0	0	0	0	0	9	49
LQ108_RS08975	gene-LQ108_RS08975	TRANSCRIPT_gene-LQ108_RS08975	protein_coding	0	0	0	100	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	45
LQ108_RS08980	gene-LQ108_RS08980	TRANSCRIPT_gene-LQ108_RS08980	protein_coding	0	1	0	96	0	0	0	0	38	0	0	0	0	0	0	0	0	0	1	58
LQ108_RS08985	gene-LQ108_RS08985	TRANSCRIPT_gene-LQ108_RS08985	protein_coding	0	12	3	90	0	0	0	0	39	0	0	3	0	0	0	0	0	0	12	51
LQ108_RS08990	gene-LQ108_RS08990	TRANSCRIPT_gene-LQ108_RS08990	protein_coding	0	3	0	94	0	0	0	0	51	0	0	0	0	0	0	0	0	0	3	43
LQ108_RS08995	gene-LQ108_RS08995	TRANSCRIPT_gene-LQ108_RS08995	protein_coding	0	2	0	95	0	0	0	0	51	0	0	0	0	0	0	0	0	0	2	44
LQ108_RS09000	gene-LQ108_RS09000	TRANSCRIPT_gene-LQ108_RS09000	protein_coding	0	2	0	97	0	0	0	0	43	0	0	0	0	0	0	0	0	0	2	54
LQ108_RS09005	gene-LQ108_RS09005	TRANSCRIPT_gene-LQ108_RS09005	protein_coding	0	7	1	91	0	0	0	0	50	0	0	1	0	0	0	0	0	0	7	41
LQ108_RS09010	gene-LQ108_RS09010	TRANSCRIPT_gene-LQ108_RS09010	protein_coding	0	12	0	97	0	0	0	0	46	0	0	0	0	0	0	0	0	0	12	51
LQ108_RS09015	gene-LQ108_RS09015	TRANSCRIPT_gene-LQ108_RS09015	protein_coding	0	13	1	90	0	0	0	0	42	0	0	1	0	0	0	0	0	0	13	48
LQ108_RS09020	gene-LQ108_RS09020	TRANSCRIPT_gene-LQ108_RS09020	protein_coding	0	3	0	95	0	0	0	0	55	0	0	0	0	0	0	0	0	0	3	40
LQ108_RS09030	gene-LQ108_RS09030	TRANSCRIPT_gene-LQ108_RS09030	protein_coding	0	5	0	91	0	0	0	0	51	0	0	0	0	0	0	0	0	0	5	40
LQ108_RS09035	gene-LQ108_RS09035	TRANSCRIPT_gene-LQ108_RS09035	protein_coding	0	12	0	90	0	0	0	0	51	0	0	0	0	0	0	0	0	0	12	39
LQ108_RS09045	gene-LQ108_RS09045	TRANSCRIPT_gene-LQ108_RS09045	protein_coding	0	4	0	88	0	0	0	0	46	0	0	0	0	0	0	0	0	0	4	42
LQ108_RS09050	gene-LQ108_RS09050	TRANSCRIPT_gene-LQ108_RS09050	protein_coding	0	9	3	83	0	0	0	0	39	0	0	3	0	0	0	0	0	0	9	44
LQ108_RS09065	gene-LQ108_RS09065	TRANSCRIPT_gene-LQ108_RS09065	protein_coding	0	1	0	85	0	0	0	0	54	0	0	0	0	0	0	0	0	0	1	31
LQ108_RS09090	gene-LQ108_RS09090	TRANSCRIPT_gene-LQ108_RS09090	protein_coding	0	4	0	87	0	0	0	0	36	0	0	0	0	0	0	0	0	0	4	51
LQ108_RS09100	gene-LQ108_RS09100	TRANSCRIPT_gene-LQ108_RS09100	protein_coding	0	12	1	87	0	0	0	0	50	0	0	1	0	0	0	0	0	0	12	37
LQ108_RS09110	gene-LQ108_RS09110	TRANSCRIPT_gene-LQ108_RS09110	protein_coding	0	4	2	91	0	0	0	0	58	0	0	2	0	0	0	0	0	0	4	33
LQ108_RS09115	gene-LQ108_RS09115	TRANSCRIPT_gene-LQ108_RS09115	protein_coding	0	1	3	94	0	0	0	0	35	0	0	3	0	0	0	0	0	0	1	59
LQ108_RS09120	gene-LQ108_RS09120	TRANSCRIPT_gene-LQ108_RS09120	protein_coding	0	8	4	90	0	0	0	0	52	0	0	4	0	0	0	0	0	0	8	38
LQ108_RS09125	gene-LQ108_RS09125	TRANSCRIPT_gene-LQ108_RS09125	protein_coding	0	4	1	99	0	0	0	0	52	0	0	1	0	0	0	0	0	0	4	47
LQ108_RS09130	gene-LQ108_RS09130	TRANSCRIPT_gene-LQ108_RS09130	protein_coding	0	7	4	105	0	0	0	0	50	0	0	4	0	0	0	0	0	0	7	55
LQ108_RS09135	gene-LQ108_RS09135	TRANSCRIPT_gene-LQ108_RS09135	protein_coding	0	7	0	104	0	0	0	0	50	0	0	0	0	0	0	0	0	0	7	54
LQ108_RS09140	gene-LQ108_RS09140	TRANSCRIPT_gene-LQ108_RS09140	protein_coding	0	17	5	107	0	0	0	0	53	0	0	5	0	0	0	0	0	0	17	54
LQ108_RS09145	gene-LQ108_RS09145	TRANSCRIPT_gene-LQ108_RS09145	protein_coding	0	3	5	116	0	0	0	0	60	0	0	5	0	0	0	0	0	0	3	56
LQ108_RS09150	gene-LQ108_RS09150	TRANSCRIPT_gene-LQ108_RS09150	protein_coding	0	8	0	107	0	0	0	0	50	0	0	0	0	0	0	0	0	0	8	57
LQ108_RS09230	gene-LQ108_RS09230	TRANSCRIPT_gene-LQ108_RS09230	protein_coding	0	13	3	63	0	0	0	0	41	0	0	3	0	0	0	0	0	0	13	22
LQ108_RS09255	gene-LQ108_RS09255	TRANSCRIPT_gene-LQ108_RS09255	protein_coding	0	2	1	87	0	0	0	0	40	0	0	1	0	0	0	0	0	0	2	47
LQ108_RS09270	gene-LQ108_RS09270	TRANSCRIPT_gene-LQ108_RS09270	protein_coding	0	4	0	68	0	0	0	0	33	0	0	0	0	0	0	0	0	0	4	35
LQ108_RS09275	gene-LQ108_RS09275	TRANSCRIPT_gene-LQ108_RS09275	protein_coding	0	13	0	61	0	0	0	0	37	0	0	0	0	0	0	0	0	0	13	24
LQ108_RS09290	gene-LQ108_RS09290	TRANSCRIPT_gene-LQ108_RS09290	protein_coding	0	0	1	63	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	47
LQ108_RS09295	gene-LQ108_RS09295	TRANSCRIPT_gene-LQ108_RS09295	protein_coding	0	0	1	55	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	35
LQ108_RS09355	gene-LQ108_RS09355	TRANSCRIPT_gene-LQ108_RS09355	protein_coding	0	3	0	77	0	0	0	0	47	0	0	0	0	0	0	0	0	0	3	30
LQ108_RS09365	gene-LQ108_RS09365	TRANSCRIPT_gene-LQ108_RS09365	protein_coding	0	5	0	78	0	0	0	0	51	0	0	0	0	0	0	0	0	0	5	27
LQ108_RS09370	gene-LQ108_RS09370	TRANSCRIPT_gene-LQ108_RS09370	protein_coding	0	5	1	75	0	0	0	0	51	0	0	1	0	0	0	0	0	0	5	24
LQ108_RS09380	gene-LQ108_RS09380	TRANSCRIPT_gene-LQ108_RS09380	protein_coding	0	10	3	86	0	0	0	0	35	0	0	3	0	0	0	0	0	0	10	51
LQ108_RS09385	gene-LQ108_RS09385	TRANSCRIPT_gene-LQ108_RS09385	protein_coding	0	13	1	102	0	0	0	0	46	0	0	1	0	0	0	0	0	0	13	56
LQ108_RS09390	gene-LQ108_RS09390	TRANSCRIPT_gene-LQ108_RS09390	protein_coding	0	5	2	121	0	0	0	0	53	0	0	2	0	0	0	0	0	0	5	68
LQ108_RS09395	gene-LQ108_RS09395	TRANSCRIPT_gene-LQ108_RS09395	protein_coding	0	7	0	124	0	0	0	0	52	0	0	0	0	0	0	0	0	0	7	72
LQ108_RS09400	gene-LQ108_RS09400	TRANSCRIPT_gene-LQ108_RS09400	protein_coding	0	6	1	129	0	0	0	0	55	0	0	1	0	0	0	0	0	0	6	74
LQ108_RS09405	gene-LQ108_RS09405	TRANSCRIPT_gene-LQ108_RS09405	protein_coding	0	14	2	122	0	0	0	0	72	0	0	2	0	0	0	0	0	0	14	50
LQ108_RS09410	gene-LQ108_RS09410	TRANSCRIPT_gene-LQ108_RS09410	protein_coding	0	10	2	117	0	0	0	0	51	0	0	2	0	0	0	0	0	0	10	66
LQ108_RS09415	gene-LQ108_RS09415	TRANSCRIPT_gene-LQ108_RS09415	protein_coding	0	14	4	113	0	0	0	0	53	0	0	4	0	0	0	0	0	0	14	60
LQ108_RS09420	gene-LQ108_RS09420	TRANSCRIPT_gene-LQ108_RS09420	protein_coding	0	5	3	125	0	0	0	0	64	0	0	3	0	0	0	0	0	0	5	61
LQ108_RS09430	gene-LQ108_RS09430	TRANSCRIPT_gene-LQ108_RS09430	protein_coding	0	25	2	110	0	0	0	0	70	0	0	2	0	0	0	0	0	0	25	40
LQ108_RS09455	gene-LQ108_RS09455	TRANSCRIPT_gene-LQ108_RS09455	protein_coding	0	5	3	80	0	0	0	0	45	0	0	3	0	0	0	0	0	0	5	35
LQ108_RS09460	gene-LQ108_RS09460	TRANSCRIPT_gene-LQ108_RS09460	protein_coding	0	14	2	77	0	0	0	0	49	0	0	2	0	0	0	0	0	0	14	28
LQ108_RS09485	gene-LQ108_RS09485	TRANSCRIPT_gene-LQ108_RS09485	protein_coding	0	0	0	93	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	49
LQ108_RS09490	gene-LQ108_RS09490	TRANSCRIPT_gene-LQ108_RS09490	protein_coding	0	4	2	94	0	0	0	0	45	0	0	2	0	0	0	0	0	0	4	49
LQ108_RS09495	gene-LQ108_RS09495	TRANSCRIPT_gene-LQ108_RS09495	protein_coding	0	3	1	112	0	0	0	0	46	0	0	1	0	0	0	0	0	0	3	66
LQ108_RS09500	gene-LQ108_RS09500	TRANSCRIPT_gene-LQ108_RS09500	protein_coding	0	4	0	118	0	0	0	0	75	0	0	0	0	0	0	0	0	0	4	43
LQ108_RS09505	gene-LQ108_RS09505	TRANSCRIPT_gene-LQ108_RS09505	protein_coding	0	2	2	112	0	0	0	0	75	0	0	2	0	0	0	0	0	0	2	37
LQ108_RS09510	gene-LQ108_RS09510	TRANSCRIPT_gene-LQ108_RS09510	protein_coding	0	20	13	120	0	0	0	0	83	0	0	13	0	0	0	0	0	0	20	37
LQ108_RS09515	gene-LQ108_RS09515	TRANSCRIPT_gene-LQ108_RS09515	protein_coding	0	19	6	108	0	0	0	0	60	0	0	6	0	0	0	0	0	0	19	48
LQ108_RS09520	gene-LQ108_RS09520	TRANSCRIPT_gene-LQ108_RS09520	protein_coding	0	6	3	126	0	0	0	0	57	0	0	3	0	0	0	0	0	0	6	69
LQ108_RS09525	gene-LQ108_RS09525	TRANSCRIPT_gene-LQ108_RS09525	protein_coding	0	3	0	130	0	0	0	0	54	0	0	0	0	0	0	0	0	0	3	76
LQ108_RS09540	gene-LQ108_RS09540	TRANSCRIPT_gene-LQ108_RS09540	protein_coding	0	1	0	85	0	0	0	0	61	0	0	0	0	0	0	0	0	0	1	24
LQ108_RS09545	gene-LQ108_RS09545	TRANSCRIPT_gene-LQ108_RS09545	protein_coding	0	4	2	80	0	0	0	0	55	0	0	2	0	0	0	0	0	0	4	25
LQ108_RS09555	gene-LQ108_RS09555	TRANSCRIPT_gene-LQ108_RS09555	protein_coding	0	8	0	90	0	0	0	0	36	0	0	0	0	0	0	0	0	0	8	54
LQ108_RS09560	gene-LQ108_RS09560	TRANSCRIPT_gene-LQ108_RS09560	protein_coding	0	6	1	80	0	0	0	0	35	0	0	1	0	0	0	0	0	0	6	45
LQ108_RS09565	gene-LQ108_RS09565	TRANSCRIPT_gene-LQ108_RS09565	protein_coding	0	0	0	78	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	40
LQ108_RS09570	gene-LQ108_RS09570	TRANSCRIPT_gene-LQ108_RS09570	protein_coding	0	0	0	67	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	41
LQ108_RS09575	gene-LQ108_RS09575	TRANSCRIPT_gene-LQ108_RS09575	protein_coding	0	0	0	76	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	50
LQ108_RS09625	gene-LQ108_RS09625	TRANSCRIPT_gene-LQ108_RS09625	protein_coding	0	12	3	102	0	0	0	0	43	0	0	3	0	0	0	0	0	0	12	59
LQ108_RS09630	gene-LQ108_RS09630	TRANSCRIPT_gene-LQ108_RS09630	protein_coding	0	13	4	92	0	0	0	0	45	0	0	4	0	0	0	0	0	0	13	47
LQ108_RS09635	gene-LQ108_RS09635	TRANSCRIPT_gene-LQ108_RS09635	protein_coding	0	13	2	101	0	0	0	0	46	0	0	2	0	0	0	0	0	0	13	55
LQ108_RS09640	gene-LQ108_RS09640	TRANSCRIPT_gene-LQ108_RS09640	protein_coding	0	10	0	108	0	0	0	0	47	0	0	0	0	0	0	0	0	0	10	61
LQ108_RS09645	gene-LQ108_RS09645	TRANSCRIPT_gene-LQ108_RS09645	protein_coding	0	5	1	113	0	0	0	0	47	0	0	1	0	0	0	0	0	0	5	66
LQ108_RS09655	gene-LQ108_RS09655	TRANSCRIPT_gene-LQ108_RS09655	protein_coding	0	1	0	111	0	0	0	0	51	0	0	0	0	0	0	0	0	0	1	60
LQ108_RS09660	gene-LQ108_RS09660	TRANSCRIPT_gene-LQ108_RS09660	protein_coding	0	5	1	123	0	0	0	0	65	0	0	1	0	0	0	0	0	0	5	58
LQ108_RS09665	gene-LQ108_RS09665	TRANSCRIPT_gene-LQ108_RS09665	protein_coding	0	15	4	108	0	0	0	0	61	0	0	4	0	0	0	0	0	0	15	47
LQ108_RS09670	gene-LQ108_RS09670	TRANSCRIPT_gene-LQ108_RS09670	protein_coding	0	7	2	106	0	0	0	0	59	0	0	2	0	0	0	0	0	0	7	47
LQ108_RS09675	gene-LQ108_RS09675	TRANSCRIPT_gene-LQ108_RS09675	protein_coding	0	1	2	112	0	0	0	0	66	0	0	2	0	0	0	0	0	0	1	46
LQ108_RS09680	gene-LQ108_RS09680	TRANSCRIPT_gene-LQ108_RS09680	protein_coding	0	0	0	112	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	65
LQ108_RS09685	gene-LQ108_RS09685	TRANSCRIPT_gene-LQ108_RS09685	protein_coding	0	10	2	101	0	0	0	0	54	0	0	2	0	0	0	0	0	0	10	47
LQ108_RS09690	gene-LQ108_RS09690	TRANSCRIPT_gene-LQ108_RS09690	protein_coding	0	7	1	111	0	0	0	0	56	0	0	1	0	0	0	0	0	0	7	55
LQ108_RS09695	gene-LQ108_RS09695	TRANSCRIPT_gene-LQ108_RS09695	protein_coding	0	16	4	107	0	0	0	0	58	0	0	4	0	0	0	0	0	0	16	49
LQ108_RS09700	gene-LQ108_RS09700	rna-LQ108_RS09700	protein_coding	0	0	0	113	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	45
LQ108_RS09705	gene-LQ108_RS09705	rna-LQ108_RS09705	protein_coding	0	0	0	113	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	45
LQ108_RS09715	gene-LQ108_RS09715	TRANSCRIPT_gene-LQ108_RS09715	protein_coding	1	1	1	104	0	0	0	0	40	1	0	1	0	0	0	0	0	0	1	64
LQ108_RS09745	gene-LQ108_RS09745	TRANSCRIPT_gene-LQ108_RS09745	protein_coding	0	10	0	74	0	0	0	0	38	0	0	0	0	0	0	0	0	0	10	36
LQ108_RS09755	gene-LQ108_RS09755	TRANSCRIPT_gene-LQ108_RS09755	protein_coding	0	3	1	79	0	0	0	0	32	0	0	1	0	0	0	0	0	0	3	47
LQ108_RS09775	gene-LQ108_RS09775	TRANSCRIPT_gene-LQ108_RS09775	protein_coding	0	9	2	87	0	0	0	0	33	0	0	2	0	0	0	0	0	0	9	54
